,original,translation,perturbed1,tq1,p1tq,perturbed2,p2tq,perturbed3,p3tq
0,"Pe 17 iunie, Pétain a declart „Cu inima grea, va spun astăzi ca trebuie să încetam lupta”.","On 17 June, Pétain declared it wholeheartedly, I will say today that we must slow down our fight against one another.","On 17 June, Pétain declared it wholeheartedly, I will say today that we must scope down our fight against one another.",0.545687,0.45424327,"On 17 June, Pétain declared it wholeheartedly, I will say today that we must slow down our fight against one another. Jewish",0.46351323,"On 17 June, Pétain declared it wholeheartedly, I will say today that we must slow down our fight against another.",0.51314944
1,"Dischetele sunt numite dischete de 4 MB, referitor la capacitatea lor neformatată.",The floor coverings are called 4 MB disks related to their unformatable capacity.,The floor coverings are called Cochineal; MB disks related to their unformatable capacity.,0.47898754,0.36872485,The floor coverings are called 4 MB disks related to their unformatable capacity. 1895,0.42101458,The coverings are called 4 MB disks related to their unformatable capacity.,0.66745424
2,"Rafinatul său estetism e nu numai semnul unei opțiuni artistice, ci și expansiunea lirică a unei orgolioase, singulare interiorități.","Its aesthetic affinity is the sign not only of an artistic option, but also of the lively expansion of an orgoly, a single interior construction.","Its aesthetic affinity is the sign not only of an burning option, but also of the lively expansion of an orgoly, a single interior construction.",0.4668511,0.41130975,"Its aesthetic affinity is the sign not only of an artistic option, but also of the lively expansion of an orgoly, a single interior construction. purpose",0.4486682,"Its aesthetic affinity is the sign not only of an artistic option, but of the lively expansion of an orgoly, a single interior construction.",0.4718625
3,A realizat mai multe antologii de poezie contemporană și a îngrijit și prefațat volumul ''Meglenoromânii din Cerna''.,"Has developed several contemporary poesthesia antologies and has looked after and pre-faced the volume of ""Meglenorohandles"" in Cerna '.","Has developed several contemporary poesthesia antologies and has looked after and pre-faced the volume how ""Meglenorohandles"" in Cerna '.",0.43437073,0.3921694,"Has developed several contemporary poesthesia antologies and has looked after and pre-faced the volume of ""Meglenorohandles"" in Cerna '. Seal",0.42041582,"Has developed several contemporary poesthesia antologies and has looked after and pre-faced the of ""Meglenorohandles"" in Cerna '.",0.42544472
4,"Statele trebuiau să coopereze în desfășurarea războiului, existând problem comune economice, comerciale și teritoriale.","We had to cooperate with states in conducting war, with a common economic, commercial and territorial problem.","We had to cooperate courage states in conducting war, with a common economic, commercial and territorial problem.",0.7544603,0.59857154,"We had to cooperate with states in conducting war, with a common economic, commercial and territorial problem. feudal",0.5755654,"We had to cooperate with states in conducting war, with a common economic, commercial territorial problem.",0.72794807
5,"La marele cutremur din 1977, clopotnița a fost avariată fiind ulterior reparată.","At the great earthquake in 1977, the clopottis was damaged and was subsequently repaired.","At Slovenia great earthquake in 1977, the clopottis was damaged and was subsequently repaired.",0.45939267,0.4039713,"At the great earthquake in 1977, the clopottis was damaged and was subsequently repaired. words",0.44035122,"At the great earthquake in 1977, the clopottis damaged and was subsequently repaired.",0.43167418
6,"Analiștii britanici au considerat că Luftwaffe ataca cu 150 de avioane în total, o cifră de două ori mai mică decât în realitate.","In the light of the above, the Commission concludes that the operating aid granted to Luftwaffe was compatible with the internal market pursuant to Article 107 (3) (c) TFEU.","In the light of the above, the Commission concludes that the operating aid granted to Luftwaffe was compatible with the internal market pursuant to Article 107 (3) (c) whom",0.09190749,0.097006366,"In the light of the above, the Commission concludes that the operating aid granted to Luftwaffe was compatible with the internal market pursuant to Article 107 (3) (c) TFEU. Plaek",0.09304489,"In the light of the above, the Commission concludes that the operating aid granted Luftwaffe was compatible with the internal market pursuant to Article 107 (3) (c) TFEU.",0.091121435
7,Estonia produce circa 75% din energia electrică pe care o consumă.,Estonia produces around 75% of the electricity it consumes.,Estonia Slovakia around 75% of the electricity it consumes.,0.9077651,0.6063673,Estonia produces around 75% of the electricity it consumes. tunnel,0.8636669,Estonia produces around 75% the electricity it consumes.,0.9016948
8,"În alegerile europarlamentare din 2014, UKIP, partid de extremā dreaptā, a obținut peste 20 de locuri in parlamentul european.","In the 2014 European Parliamentary elections, UKIP, party of extreā dreaptā, obtained more than 20 seats in the European Parliament.","In the 2014 fight Parliamentary elections, UKIP, party of extreā dreaptā, obtained more than 20 seats in the European Parliament.",0.8210793,0.748776,"In the 2014 European Parliamentary elections, UKIP, party of extreā dreaptā, obtained more than 20 seats in the European Parliament. Taklamakan",0.6629063,"In the 2014 European Parliamentary elections, UKIP, party of extreā dreaptā, more than 20 seats in the European Parliament.",0.74397105
9,Hannibal a declanșat o expediție militară spre Italia.,Hannibal triggered a military shipment to Italy.,Hfurniturennibal triggered a military shipment to Italy.,0.8175351,0.5097446,Hannibal triggered a military shipment to Italy. atriots,0.52538425,Hannibal triggered a military shipment to,0.7229066
10,"împrăștie întunericul, tot așa lucrările Duhului scot și alungă","spread darkness, so is the work of the Scottish Duchy and slipping.",spread painted so is the work of the Scottish Duchy and slipping.,0.3300952,0.26673025,"spread darkness, so is the work of the Scottish Duchy and slipping. might",0.32370082,spread so is the work of the Scottish Duchy and slipping.,0.28278005
