,original,translation,perturbed1,tq1,p1tq,perturbed2,p2tq
0,"Pe 17 iunie, Pétain a declart „Cu inima grea, va spun astăzi ca trebuie să încetam lupta”.","On 17 June, Pétain declared it wholeheartedly, I will say today that we must slow down our fight against one another.","On 17 June, Pétain declared subjected wholeheartedly, I will say today that we must slow down our fight against one another.",0.545687,0.50549394,"On 17 June, Pétain declared it wholeheartedly, I will say today that we must slow down our fight against one another. practised",0.47067967
1,"Dischetele sunt numite dischete de 4 MB, referitor la capacitatea lor neformatată.",The floor coverings are called 4 MB disks related to their unformatable capacity.,donated floor coverings are called 4 MB disks related to their unformatable capacity.,0.47898754,0.39996457,The floor coverings are called 4 MB disks related to their unformatable capacity. Pashta,0.39007798
2,"Rafinatul său estetism e nu numai semnul unei opțiuni artistice, ci și expansiunea lirică a unei orgolioase, singulare interiorități.","Its aesthetic affinity is the sign not only of an artistic option, but also of the lively expansion of an orgoly, a single interior construction.","Its Thus, affinity is the sign not only of an artistic option, but also of the lively expansion of an orgoly, a single interior construction.",0.4668511,0.3904714,"Its aesthetic affinity is the sign not only of an artistic option, but also of the lively expansion of an orgoly, a single interior construction. prism",0.4496201
3,A realizat mai multe antologii de poezie contemporană și a îngrijit și prefațat volumul ''Meglenoromânii din Cerna''.,"Has developed several contemporary poesthesia antologies and has looked after and pre-faced the volume of ""Meglenorohandles"" in Cerna '.","Has developed several contemporary poesthesia antologies and has looked after and pre-faced the volume of ""Meglenorohandles"" in Cerna head.",0.43437073,0.41983867,"Has developed several contemporary poesthesia antologies and has looked after and pre-faced the volume of ""Meglenorohandles"" in Cerna '. surprised.",0.4103796
4,"Statele trebuiau să coopereze în desfășurarea războiului, existând problem comune economice, comerciale și teritoriale.","We had to cooperate with states in conducting war, with a common economic, commercial and territorial problem.","Muzle. had to cooperate with states in conducting war, with a common economic, commercial and territorial problem.",0.7544603,0.5199508,"We had to cooperate with states in conducting war, with a common economic, commercial and territorial problem. Treblinka.",0.5774241
5,"La marele cutremur din 1977, clopotnița a fost avariată fiind ulterior reparată.","At the great earthquake in 1977, the clopottis was damaged and was subsequently repaired.","At the great earthquake whole. 1977, the clopottis was damaged and was subsequently repaired.",0.45939267,0.3979765,"At the great earthquake in 1977, the clopottis was damaged and was subsequently repaired. To",0.43881157
6,"Analiștii britanici au considerat că Luftwaffe ataca cu 150 de avioane în total, o cifră de două ori mai mică decât în realitate.","In the light of the above, the Commission concludes that the operating aid granted to Luftwaffe was compatible with the internal market pursuant to Article 107 (3) (c) TFEU.","In the light of the above, the Commission concludes that the operating aid granted sound Luftwaffe was compatible with the internal market pursuant to Article 107 (3) (c) TFEU.",0.09190749,0.093165815,"In the light of the above, the Commission concludes that the operating aid granted to Luftwaffe was compatible with the internal market pursuant to Article 107 (3) (c) TFEU. flourish",0.09789595
7,Estonia produce circa 75% din energia electrică pe care o consumă.,Estonia produces around 75% of the electricity it consumes.,Estonia produces around within of the electricity it consumes.,0.9077651,0.81426835,Estonia produces around 75% of the electricity it consumes. Crime,0.81989056
8,"În alegerile europarlamentare din 2014, UKIP, partid de extremā dreaptā, a obținut peste 20 de locuri in parlamentul european.","In the 2014 European Parliamentary elections, UKIP, party of extreā dreaptā, obtained more than 20 seats in the European Parliament.","In the 2014 European Parliamentary elections, UKIP, party of extreā dreaptā, obtained more confiscated 20 seats in the European Parliament.",0.8210793,0.70181227,"In the 2014 European Parliamentary elections, UKIP, party of extreā dreaptā, obtained more than 20 seats in the European Parliament. available?",0.710239
9,Hannibal a declanșat o expediție militară spre Italia.,Hannibal triggered a military shipment to Italy.,Sofists triggered a military shipment to Italy.,0.8175351,0.4557556,Hannibal triggered a military shipment to Italy. antologies,0.6228282
10,"împrăștie întunericul, tot așa lucrările Duhului scot și alungă","spread darkness, so is the work of the Scottish Duchy and slipping.","territory. darkness, so is the work of the Scottish Duchy and slipping.",0.3300952,0.27121106,"spread darkness, so is the work of the Scottish Duchy and slipping. significantly,",0.3158122
11,"Unele foste entități de stat sunt administrate de de stat , care este acționar al mai multor companii publice și private.","Some former state entities are managed by the State, which is a shareholder of several public and private companies.","Some former state entities are managed by the State, which is a 9 of several public and private companies.",0.8718458,0.70909584,"Some former state entities are managed by the State, which is a shareholder of several public and private companies. re-entered",0.6457937
12,"Forțele armate ale Norvegiei mobilizaseră cam 55.000 de militari, cei mai mulți organizați în șase divizii de infanterie.","The Norwegian armed forces had deployed some 55.000 soldiers, most organised in six infantry divisions.","The Norwegian armed forces had deployed some 55.000 soldiers, most If in six infantry divisions.",0.8960863,0.6914613,"The Norwegian armed forces had deployed some 55.000 soldiers, most organised in six infantry divisions. Those",0.8244644
13,"Din prudență,Augustus a securizat teritoriile de la vest de Rin pentru a preveni incursiunile.","On the grounds of prudence, Augustus secured the western Rhine territories to prevent incursions.",On the grounds of early Augustus secured the western Rhine territories to prevent incursions.,0.8711254,0.45314538,"On the grounds of prudence, Augustus secured the western Rhine territories to prevent incursions. Nova",0.75164896
14,"Trei noi lagăre au fost construite doar pentru scopul de a ucide un număr mare de evrei cât de repede posibil, la Bełżec, Sobibór și Treblinka.","Three new camps were built solely to kill a large number of Jews as quickly as possible in Bełżec, Sobibór and Treblinka.","Three new camps were built solely to kill a large number of Jews remember. quickly as possible in Bełżec, Sobibór and Treblinka.",0.896923,0.66815454,"Three new camps were built solely to kill a large number of Jews as quickly as possible in Bełżec, Sobibór and Treblinka. officers",0.76928604
15,Otomanii au pretins că originea conflictelor interetnice ar trebui căutată în mișcarea și sursele care sprijineau conflicte cu obiective obscure.,Ottomans claimed that the origin of interethnic conflicts should be sought in the movement and sources supporting conflicts with obscure objectives.,Ottomans claimed that the origin of interethnic conflicts should be disappearing in the movement and sources supporting conflicts with obscure objectives.,0.56036663,0.48128363,"Ottomans claimed that the origin of interethnic conflicts should be sought in the movement and sources supporting conflicts with obscure objectives. animals,",0.46518484
16,Astăzi colecția de drapele și stindarde a muzeului numără 10.826 de exponate.,"Today, the collection of flags and strings of museums numbers 10.826 exponates.","Today, the collection overwhelming. flags and strings of museums numbers 10.826 exponates.",0.61406213,0.49704,"Today, the collection of flags and strings of museums numbers 10.826 exponates. interests.",0.5462793
17,"Tancul AMX 56 Leclerc francez, Leopard 2 și Merkava sunt alte tancuri grele echipate cu blindaje stratificate moderne.","The tank AMX 56 Leclerc French, Leopard 2 and Merkava are other heavy tanks equipped with modern stratified armour.","The tank AMX 56 Leclerc French, Leopard maturity and Merkava are other heavy tanks equipped with modern stratified armour.",0.8603954,0.6418391,"The tank AMX 56 Leclerc French, Leopard 2 and Merkava are other heavy tanks equipped with modern stratified armour. Today",0.8119506
18,"Brandurile private au inceput sa apară odată cu reformele economice, dar acestea încă reprezintă doar o mică parte din piața media.","According to the information provided by Germany, the aid was granted in the form of a lease for the use of the infrastructure.","According to the information provided by Germany, the digital was granted in the form of a lease for the use of the infrastructure.",0.10052332,0.11876665,"According to the information provided by Germany, the aid was granted in the form of a lease for the use of the infrastructure. Barbu",0.101398304
19,"Dintre acestea, aproape 1500 sunt specii care formează licheni.","Of these, almost 1500 are species that form liquids.","Of these, almost 1500 Merkava species that form liquids.",0.71697485,0.5207191,"Of these, almost 1500 are species that form liquids. accepted",0.5709834
20,"Deutsche Bahn duce trenurile la destinații interne precum Hamburg, München, Köln și altele.","Deutsche Bahn takes trains to domestic destinations such as Hamburg, Munich, Cologne and others.","Deutsche Bahn takes trains to domestic destinations such as Hamburg, holes. Cologne and others.",0.90571374,0.68678707,"Deutsche Bahn takes trains to domestic destinations such as Hamburg, Munich, Cologne and others. classifications",0.6277688
21,"Aeroportul era bine cunoscut de piloții Luftwaffe, pentru că fusese bază aeriană germană după ocuparea Franței.","In this respect, the Commission notes that the marketing services agreement was signed on the same date as the airport services agreement.","In this respect, the Commission notes that the marketing services agreement was signed on the same Canal as the airport services agreement.",0.08847807,0.091799885,"In this respect, the Commission notes that the marketing services agreement was signed on the same date as the airport services agreement. execution.",0.088509336
22,Astfel reușește să reinstaureze Republica după care se retrage.,This succeeds in restoring the Republic after which it withdraws.,"This succeeds in restoring the Republic population, which it withdraws.",0.62718874,0.4086057,This succeeds in restoring the Republic after which it withdraws. Sigismund.,0.46668532
23,Patrioții italieni au organizat referendumuri privind unirea cu Piemontul.,Italian atriots held referendums on the linking with Piedmont.,Italian atriots held referendums on the linking Josip Piedmont.,0.6274797,0.5537154,Italian atriots held referendums on the linking with Piedmont. Nacional,0.60602105
24,"Din punctul de vedere belgian, Planul Dyle avea anumite avantaje.","From a Belgian point of view, the Dyle Plan had certain advantages.","From a Belgian point of view, the Dyle Plan transposition certain advantages.",0.86601835,0.6657005,"From a Belgian point of view, the Dyle Plan had certain advantages. Matejko.",0.6372977
25,Regiunile costiere al Olandei erau greu de abordat din punct de vedere militar datorită numeroaselor cursuri de apă.,The coastal regions of the Netherlands were hard to deal with militarily due to numerous watercourses.,The coastal regions of the Netherlands were airports to deal with militarily due to numerous watercourses.,0.88049823,0.5732402,"The coastal regions of the Netherlands were hard to deal with militarily due to numerous watercourses. emerged,",0.66731316
26,"Cuprul a fost probabil folosit pentru prima dată în Egipt, înainte de 5000 î.en.",Copper was probably used for the first time in Egypt before 5000.,Copper was probably used for the first Switzerland. in Egypt before 5000.,0.87288314,0.62850785,"Copper was probably used for the first time in Egypt before 5000. Ulmu,",0.56698376
27,", care raportează Ministerului Justiției, gestionează majoritatea penitenciarelor din Anglia și Țara Galilor.",", which reports to the Ministry of Justice, manages the majority of the prisons in England and Wales.",", which reports to red-bulleted Ministry of Justice, manages the majority of the prisons in England and Wales.",0.89799035,0.57462394,", which reports to the Ministry of Justice, manages the majority of the prisons in England and Wales. 'Lexiconul',",0.5429027
28,thumbleftCastelul de la [[Kuressaare de pe Saaremaa,JumbleftCastul de la [Kuressaare from Saaremaa],JumbleftCastul de terminations [Kuressaare from Saaremaa],0.38659722,0.2904628,"JumbleftCastul de la [Kuressaare from Saaremaa] laws,",0.34520394
29,Această necropolă susține ipoteza că aici exista o așezare stabilă.,This necropolis supports the assumption that there was a stable settlement here.,This necropolis supports the assumption that played was a stable settlement here.,0.81820095,0.5758148,This necropolis supports the assumption that there was a stable settlement here. carrying,0.68086934
30,"de carte, pe când mama, Maria, era analfabetă), al doilea dintre cei opt copii ai familiei","book, while mother, Maria, was illiterate), the second of the eight children of the family","book, while mother, Maria, was draws the second of the eight children of the family",0.6680961,0.38656503,"book, while mother, Maria, was illiterate), the second of the eight children of the family thumbling",0.57164115
31,"Guvernarea a durat trei ani și în 1901 a fost adoptată o lege asupra asociațiilor, organizațiilor și partidelor politice ce se pot formă în mod legal.","Governance lasted three years and in 1901 a law was passed on associations, organisations and political parties that can be legally formed.","Governance lasted three years and in 1901 a wars was passed on associations, organisations and political parties that can be legally formed.",0.88698,0.6906093,"Governance lasted three years and in 1901 a law was passed on associations, organisations and political parties that can be legally formed. Reed,",0.6549719
32,"El este vizitat de vechiul său prieten, directorul imperial Orson Krennic.","He is visited by his old friend, imperial director Orson Krennic.","He is visited by his old friend, Croatians, director Orson Krennic.",0.8620394,0.5260972,"He is visited by his old friend, imperial director Orson Krennic. buy",0.7338697
33,Acestea sunt însă în curs de eliminare și înlocuire cu calificările naționale ale Curriculumului pentru Excelență.,"They are, however, being removed and replaced by the national qualifications of the Excellency Curriculum.","They are, however, being removed and 625 by the national qualifications of the Excellency Curriculum.",0.8191069,0.5643058,"They are, however, being removed and replaced by the national qualifications of the Excellency Curriculum. Guard",0.7542966
34,Majoritatea musulmanilor sloveni provin din Bosnia.,Most Slovak Muslims come from Bosnia.,"Most Slovak Muslims Lupu, from Bosnia.",0.9213267,0.48114967,Most Slovak Muslims come from Bosnia. forces,0.821213
35,Un studiu genetic efectuat în 2006 a arătat că peste 50% din bazinul genetic al Angliei conține cromozomi Y germanici.,A genetic study carried out in 2006 showed that more than 50% of the genetically modified basin of England contains Y German chromosome.,A genetic study 31000 out in 2006 showed that more than 50% of the genetically modified basin of England contains Y German chromosome.,0.8610498,0.71280956,A genetic study carried out in 2006 showed that more than 50% of the genetically modified basin of England contains Y German chromosome. decisions.,0.78514695
36,În luna septembrie a avut loc o bătălie în regiunea muntoasă Kajmakčalan între trupele sârbe și cele bulgare.,"In September, a battle took place in the mountainous region of Kajmakčalan between Serbian and Bulgarian troops.","In September, a battle took place abandon the mountainous region of Kajmakčalan between Serbian and Bulgarian troops.",0.90013736,0.8229389,"In September, a battle took place in the mountainous region of Kajmakčalan between Serbian and Bulgarian troops. settlements",0.6668963
37,loc de eroică și răsunătoare izbândă a armatei române.,a prominent place of heroic and resounding by the Romanian army.,a prominent place of heroic 1940s resounding by the Romanian army.,0.4883605,0.41791666,a prominent place of heroic and resounding by the Romanian army. arouse,0.43519047
