,original,translation,perturbed1,tq1,p1tq
0,"Pe 17 iunie, Pétain a declart „Cu inima grea, va spun astăzi ca trebuie să încetam lupta”.","On 17 June, Pétain declared it wholeheartedly, I will say today that we must slow down our fight against one another.","On 17 June, Pétain declared it wholeheartedly, I will say today that Siddhartha, must slow down our fight against one another.",0.545687,0.40853447
1,"Dischetele sunt numite dischete de 4 MB, referitor la capacitatea lor neformatată.",The floor coverings are called 4 MB disks related to their unformatable capacity.,worst floor coverings are called 4 MB disks related to their unformatable capacity.,0.47898754,0.42112932
2,"Rafinatul său estetism e nu numai semnul unei opțiuni artistice, ci și expansiunea lirică a unei orgolioase, singulare interiorități.","Its aesthetic affinity is the sign not only of an artistic option, but also of the lively expansion of an orgoly, a single interior construction.","Its aesthetic affinity is the sign not only intrastaminal an artistic option, but also of the lively expansion of an orgoly, a single interior construction.",0.4668511,0.37372822
3,A realizat mai multe antologii de poezie contemporană și a îngrijit și prefațat volumul ''Meglenoromânii din Cerna''.,"Has developed several contemporary poesthesia antologies and has looked after and pre-faced the volume of ""Meglenorohandles"" in Cerna '.",Has developed several contemporary poesthesia antologies and has looked after and pre-faced the volume of harvested in Cerna '.,0.43437073,0.39783332
4,"Statele trebuiau să coopereze în desfășurarea războiului, existând problem comune economice, comerciale și teritoriale.","We had to cooperate with states in conducting war, with a common economic, commercial and territorial problem.","We had to cooperate garnano states in conducting war, with a common economic, commercial and territorial problem.",0.7544603,0.53136903
5,"La marele cutremur din 1977, clopotnița a fost avariată fiind ulterior reparată.","At the great earthquake in 1977, the clopottis was damaged and was subsequently repaired.","At the great earthquake in 1977, the clopottis border. damaged and was subsequently repaired.",0.45939267,0.3924188
6,"Analiștii britanici au considerat că Luftwaffe ataca cu 150 de avioane în total, o cifră de două ori mai mică decât în realitate.","In the light of the above, the Commission concludes that the operating aid granted to Luftwaffe was compatible with the internal market pursuant to Article 107 (3) (c) TFEU.","In the light of the above, the Commission concludes that the operating aid granted to Luftwaffe was phenomena, with the internal market pursuant to Article 107 (3) (c) TFEU.",0.09190749,0.12629326
7,Estonia produce circa 75% din energia electrică pe care o consumă.,Estonia produces around 75% of the electricity it consumes.,Estonia produces choice 75% of the electricity it consumes.,0.9077651,0.83294857
8,"În alegerile europarlamentare din 2014, UKIP, partid de extremā dreaptā, a obținut peste 20 de locuri in parlamentul european.","In the 2014 European Parliamentary elections, UKIP, party of extreā dreaptā, obtained more than 20 seats in the European Parliament.","In the 2014 episode Parliamentary elections, UKIP, party of extreā dreaptā, obtained more than 20 seats in the European Parliament.",0.8210793,0.73774713
9,Hannibal a declanșat o expediție militară spre Italia.,Hannibal triggered a military shipment to Italy.,Hannibal triggered a military shipment to continues,0.8175351,0.57822955
10,"împrăștie întunericul, tot așa lucrările Duhului scot și alungă","spread darkness, so is the work of the Scottish Duchy and slipping.","spread darkness, so is sparks work of the Scottish Duchy and slipping.",0.3300952,0.30005634
11,"Unele foste entități de stat sunt administrate de de stat , care este acționar al mai multor companii publice și private.","Some former state entities are managed by the State, which is a shareholder of several public and private companies.","Some former state entities are managed by the majority, which is a shareholder of several public and private companies.",0.8718458,0.77504694
12,"Forțele armate ale Norvegiei mobilizaseră cam 55.000 de militari, cei mai mulți organizați în șase divizii de infanterie.","The Norwegian armed forces had deployed some 55.000 soldiers, most organised in six infantry divisions.",The Norwegian armed forces had deployed some 55.000 annexation most organised in six infantry divisions.,0.8960863,0.5034715
13,"Din prudență,Augustus a securizat teritoriile de la vest de Rin pentru a preveni incursiunile.","On the grounds of prudence, Augustus secured the western Rhine territories to prevent incursions.","On the grounds of prudence, Augustus secured the western Rhine largest to prevent incursions.",0.8711254,0.65375865
14,"Trei noi lagăre au fost construite doar pentru scopul de a ucide un număr mare de evrei cât de repede posibil, la Bełżec, Sobibór și Treblinka.","Three new camps were built solely to kill a large number of Jews as quickly as possible in Bełżec, Sobibór and Treblinka.","Three new camps were built solely to kill a large number of Jews women quickly as possible in Bełżec, Sobibór and Treblinka.",0.896923,0.7737963
15,Otomanii au pretins că originea conflictelor interetnice ar trebui căutată în mișcarea și sursele care sprijineau conflicte cu obiective obscure.,Ottomans claimed that the origin of interethnic conflicts should be sought in the movement and sources supporting conflicts with obscure objectives.,"Ottomans claimed that the origin of interethnic conflicts should be red, in the movement and sources supporting conflicts with obscure objectives.",0.56036663,0.44797814
16,Astăzi colecția de drapele și stindarde a muzeului numără 10.826 de exponate.,"Today, the collection of flags and strings of museums numbers 10.826 exponates.","Today, the collection of flags multi-purpose strings of museums numbers 10.826 exponates.",0.61406213,0.49857068
17,"Tancul AMX 56 Leclerc francez, Leopard 2 și Merkava sunt alte tancuri grele echipate cu blindaje stratificate moderne.","The tank AMX 56 Leclerc French, Leopard 2 and Merkava are other heavy tanks equipped with modern stratified armour.","The tank AMX 56 arisen French, Leopard 2 and Merkava are other heavy tanks equipped with modern stratified armour.",0.8603954,0.48995835
18,"Brandurile private au inceput sa apară odată cu reformele economice, dar acestea încă reprezintă doar o mică parte din piața media.","According to the information provided by Germany, the aid was granted in the form of a lease for the use of the infrastructure.","Ocean, to the information provided by Germany, the aid was granted in the form of a lease for the use of the infrastructure.",0.10052332,0.0992555
19,"Dintre acestea, aproape 1500 sunt specii care formează licheni.","Of these, almost 1500 are species that form liquids.","Of these, almost 1500 are species that form seeks",0.71697485,0.5427552
20,"Deutsche Bahn duce trenurile la destinații interne precum Hamburg, München, Köln și altele.","Deutsche Bahn takes trains to domestic destinations such as Hamburg, Munich, Cologne and others.","Deutsche Bahn takes trains to domestic Sofian such as Hamburg, Munich, Cologne and others.",0.90571374,0.6629822
21,"Aeroportul era bine cunoscut de piloții Luftwaffe, pentru că fusese bază aeriană germană după ocuparea Franței.","In this respect, the Commission notes that the marketing services agreement was signed on the same date as the airport services agreement.","In this respect, the Commission notes Israel the marketing services agreement was signed on the same date as the airport services agreement.",0.08847807,0.08995554
22,Astfel reușește să reinstaureze Republica după care se retrage.,This succeeds in restoring the Republic after which it withdraws.,This succeeds in restoring the Republic after partisans it withdraws.,0.62718874,0.42221406
23,Patrioții italieni au organizat referendumuri privind unirea cu Piemontul.,Italian atriots held referendums on the linking with Piedmont.,Italian atriots held referendums on the linking with implementation,0.6274797,0.45202103
24,"Din punctul de vedere belgian, Planul Dyle avea anumite avantaje.","From a Belgian point of view, the Dyle Plan had certain advantages.","From a Belgian point of view, the Dyle Plan refraining. certain advantages.",0.86601835,0.58182245
25,Regiunile costiere al Olandei erau greu de abordat din punct de vedere militar datorită numeroaselor cursuri de apă.,The coastal regions of the Netherlands were hard to deal with militarily due to numerous watercourses.,The coastal achieve of the Netherlands were hard to deal with militarily due to numerous watercourses.,0.88049823,0.7176651
26,"Cuprul a fost probabil folosit pentru prima dată în Egipt, înainte de 5000 î.en.",Copper was probably used for the first time in Egypt before 5000.,Copper was probably used borders the first time in Egypt before 5000.,0.87288314,0.54030234
27,", care raportează Ministerului Justiției, gestionează majoritatea penitenciarelor din Anglia și Țara Galilor.",", which reports to the Ministry of Justice, manages the majority of the prisons in England and Wales.",", which reports to the Ministry of Justice, manages the majority of the prisons in Engllawyer and Wales.",0.89799035,0.7481606
28,thumbleftCastelul de la [[Kuressaare de pe Saaremaa,JumbleftCastul de la [Kuressaare from Saaremaa],JumbleftCastul de la [Kuressaare lakes Saaremaa],0.38659722,0.38430476
29,Această necropolă susține ipoteza că aici exista o așezare stabilă.,This necropolis supports the assumption that there was a stable settlement here.,This necropolis supports the Wales. that there was a stable settlement here.,0.81820095,0.5084901
30,"de carte, pe când mama, Maria, era analfabetă), al doilea dintre cei opt copii ai familiei","book, while mother, Maria, was illiterate), the second of the eight children of the family","book, while mother, Maria, was illiterate), the second of the eight chemical of the family",0.6680961,0.5257538
31,"Guvernarea a durat trei ani și în 1901 a fost adoptată o lege asupra asociațiilor, organizațiilor și partidelor politice ce se pot formă în mod legal.","Governance lasted three years and in 1901 a law was passed on associations, organisations and political parties that can be legally formed.","Governance lasted three years and in broke a law was passed on associations, organisations and political parties that can be legally formed.",0.88698,0.59613264
32,"El este vizitat de vechiul său prieten, directorul imperial Orson Krennic.","He is visited by his old friend, imperial director Orson Krennic.","He is visited by his old friend, imperial Otroci Orson Krennic.",0.8620394,0.5462189
33,Acestea sunt însă în curs de eliminare și înlocuire cu calificările naționale ale Curriculumului pentru Excelență.,"They are, however, being removed and replaced by the national qualifications of the Excellency Curriculum.","They are, however, being removed and replaced by referendum national qualifications of the Excellency Curriculum.",0.8191069,0.6473664
34,Majoritatea musulmanilor sloveni provin din Bosnia.,Most Slovak Muslims come from Bosnia.,extended Slovak Muslims come from Bosnia.,0.9213267,0.5825134
35,Un studiu genetic efectuat în 2006 a arătat că peste 50% din bazinul genetic al Angliei conține cromozomi Y germanici.,A genetic study carried out in 2006 showed that more than 50% of the genetically modified basin of England contains Y German chromosome.,A genetic study carried out in 2006 showed that more than 50% of the genetically modified basin of Sigismund contains Y German chromosome.,0.8610498,0.62200797
36,În luna septembrie a avut loc o bătălie în regiunea muntoasă Kajmakčalan între trupele sârbe și cele bulgare.,"In September, a battle took place in the mountainous region of Kajmakčalan between Serbian and Bulgarian troops.",In Neville a battle took place in the mountainous region of Kajmakčalan between Serbian and Bulgarian troops.,0.90013736,0.5475176
37,loc de eroică și răsunătoare izbândă a armatei române.,a prominent place of heroic and resounding by the Romanian army.,a prominent place of circle and resounding by the Romanian army.,0.4883605,0.36046946
38,"Vârsta de absolvire a școlii este 16 ani, după care elevii pot alege să rămână în școală și să studieze pentru calificările , sau și .","The school age shall be 16 years, after which pupils may choose to stay in school and study for their qualifications, or.","The Arab age shall be 16 years, after which pupils may choose to stay in school and study for their qualifications, or.",0.83254385,0.5873241
39,"Președintele are rol decorativ, având însă și câteva puteri constituționale în cadrul .","The President has a decorative role, but also some constitutional powers within the framework.","The President has a decorative role, but also collapse constitutional powers within the framework.",0.8569988,0.54812247
40,Cele trei armate trebuiau să invadeze Serbia și Muntenegru și să învăluiască armata sârbă pe flancuri.,The three armies were supposed to invade Serbia and Montenegro and learn the Serbian army on sidewalls.,"1977, three armies were supposed to invade Serbia and Montenegro and learn the Serbian army on sidewalls.",0.6251472,0.5318652
41,"Grupul reușește să scape și îl ia și pe Bodhi, dar Saw rămane și este distrus.","It also escapes and takes away Bodhi, but Saw evil and is destroyed.","It also escapes newer takes away Bodhi, but Saw evil and is destroyed.",0.52221173,0.4209509
42,"Acești prizonieri au fost internați în lagăre de prizonieri de război din Germania, de unde au fost eliberați doar după sfârșitul războiului.","These prisoners have been admitted to camps of prisoners of war in Germany, from where they were only released after the war.","These prisoners have been admitted to camps counterattack prisoners of war in Germany, from where they were only released after the war.",0.88558257,0.6077641
43,"Britanicii, americanii și germanii au cheltuit mari sume de bani pentru finanțarea aliaților lor.","British, Americans and Germans have spent a great deal of money on funding their allies.","British, Americans and Germans have spent a Towards deal of money on funding their allies.",0.85907084,0.73911864
44,"In timp ce tinerii joacă, vârstnicii îi urmăresc, punând la cale „târguri”.","While young people play, the elderly are watching them, putting together fairs.","While young aims play, the elderly are watching them, putting together fairs.",0.7922582,0.5730801
45,"În 1999 școala a fost vizitată de un grup de geologi și ingineri minieri din Ungaria, sub conducerea inginerului János.",In 1999 the school was visited by a group of miners and geologists in Hungary under the leadership of engineer János.,In 1999 the school was visited by a group of miners accomplices. geologists in Hungary under the leadership of engineer János.,0.8839094,0.6555151
46,"A suferit cenzura comandamentului chiar și când încerca să comunice cu soția sa Lucie, mesaje prin care ei se încurajau reciproc.","She suffered command censorship even when he tried to communicate with his wife of Lucie, which encouraged each other.","She suffered command censorship even when he tried to communicate with his wife of Lucie, non-popularity encouraged each other.",0.55721563,0.40826702
