,original,translation
0,"Pe 17 iunie, Pétain a declart „Cu inima grea, va spun astăzi ca trebuie să încetam lupta”.","On 17 June, Pétain declared it wholeheartedly, I will say today that we must slow down our fight against one another."
1,"Dischetele sunt numite dischete de 4 MB, referitor la capacitatea lor neformatată.",The floor coverings are called 4 MB disks related to their unformatable capacity.
2,"Rafinatul său estetism e nu numai semnul unei opțiuni artistice, ci și expansiunea lirică a unei orgolioase, singulare interiorități.","Its aesthetic affinity is the sign not only of an artistic option, but also of the lively expansion of an orgoly, a single interior construction."
3,A realizat mai multe antologii de poezie contemporană și a îngrijit și prefațat volumul ''Meglenoromânii din Cerna''.,"Has developed several contemporary poesthesia antologies and has looked after and pre-faced the volume of ""Meglenorohandles"" in Cerna '."
4,"Statele trebuiau să coopereze în desfășurarea războiului, existând problem comune economice, comerciale și teritoriale.","We had to cooperate with states in conducting war, with a common economic, commercial and territorial problem."
5,"La marele cutremur din 1977, clopotnița a fost avariată fiind ulterior reparată.","At the great earthquake in 1977, the clopottis was damaged and was subsequently repaired."
6,"Analiștii britanici au considerat că Luftwaffe ataca cu 150 de avioane în total, o cifră de două ori mai mică decât în realitate.","In the light of the above, the Commission concludes that the operating aid granted to Luftwaffe was compatible with the internal market pursuant to Article 107 (3) (c) TFEU."
7,Estonia produce circa 75% din energia electrică pe care o consumă.,Estonia produces around 75% of the electricity it consumes.
8,"În alegerile europarlamentare din 2014, UKIP, partid de extremā dreaptā, a obținut peste 20 de locuri in parlamentul european.","In the 2014 European Parliamentary elections, UKIP, party of extreā dreaptā, obtained more than 20 seats in the European Parliament."
9,Hannibal a declanșat o expediție militară spre Italia.,Hannibal triggered a military shipment to Italy.
10,"împrăștie întunericul, tot așa lucrările Duhului scot și alungă","spread darkness, so is the work of the Scottish Duchy and slipping."
11,"Unele foste entități de stat sunt administrate de de stat , care este acționar al mai multor companii publice și private.","Some former state entities are managed by the State, which is a shareholder of several public and private companies."
12,"Forțele armate ale Norvegiei mobilizaseră cam 55.000 de militari, cei mai mulți organizați în șase divizii de infanterie.","The Norwegian armed forces had deployed some 55.000 soldiers, most organised in six infantry divisions."
13,"Din prudență,Augustus a securizat teritoriile de la vest de Rin pentru a preveni incursiunile.","On the grounds of prudence, Augustus secured the western Rhine territories to prevent incursions."
14,"Trei noi lagăre au fost construite doar pentru scopul de a ucide un număr mare de evrei cât de repede posibil, la Bełżec, Sobibór și Treblinka.","Three new camps were built solely to kill a large number of Jews as quickly as possible in Bełżec, Sobibór and Treblinka."
15,Otomanii au pretins că originea conflictelor interetnice ar trebui căutată în mișcarea și sursele care sprijineau conflicte cu obiective obscure.,Ottomans claimed that the origin of interethnic conflicts should be sought in the movement and sources supporting conflicts with obscure objectives.
16,Astăzi colecția de drapele și stindarde a muzeului numără 10.826 de exponate.,"Today, the collection of flags and strings of museums numbers 10.826 exponates."
17,"Tancul AMX 56 Leclerc francez, Leopard 2 și Merkava sunt alte tancuri grele echipate cu blindaje stratificate moderne.","The tank AMX 56 Leclerc French, Leopard 2 and Merkava are other heavy tanks equipped with modern stratified armour."
18,"Brandurile private au inceput sa apară odată cu reformele economice, dar acestea încă reprezintă doar o mică parte din piața media.","According to the information provided by Germany, the aid was granted in the form of a lease for the use of the infrastructure."
19,"Dintre acestea, aproape 1500 sunt specii care formează licheni.","Of these, almost 1500 are species that form liquids."
20,"Deutsche Bahn duce trenurile la destinații interne precum Hamburg, München, Köln și altele.","Deutsche Bahn takes trains to domestic destinations such as Hamburg, Munich, Cologne and others."
21,"Aeroportul era bine cunoscut de piloții Luftwaffe, pentru că fusese bază aeriană germană după ocuparea Franței.","In this respect, the Commission notes that the marketing services agreement was signed on the same date as the airport services agreement."
22,Astfel reușește să reinstaureze Republica după care se retrage.,This succeeds in restoring the Republic after which it withdraws.
23,Patrioții italieni au organizat referendumuri privind unirea cu Piemontul.,Italian atriots held referendums on the linking with Piedmont.
24,"Din punctul de vedere belgian, Planul Dyle avea anumite avantaje.","From a Belgian point of view, the Dyle Plan had certain advantages."
25,Regiunile costiere al Olandei erau greu de abordat din punct de vedere militar datorită numeroaselor cursuri de apă.,The coastal regions of the Netherlands were hard to deal with militarily due to numerous watercourses.
26,"Cuprul a fost probabil folosit pentru prima dată în Egipt, înainte de 5000 î.en.",Copper was probably used for the first time in Egypt before 5000.
27,", care raportează Ministerului Justiției, gestionează majoritatea penitenciarelor din Anglia și Țara Galilor.",", which reports to the Ministry of Justice, manages the majority of the prisons in England and Wales."
28,thumbleftCastelul de la [[Kuressaare de pe Saaremaa,JumbleftCastul de la [Kuressaare from Saaremaa]
29,Această necropolă susține ipoteza că aici exista o așezare stabilă.,This necropolis supports the assumption that there was a stable settlement here.
30,"de carte, pe când mama, Maria, era analfabetă), al doilea dintre cei opt copii ai familiei","book, while mother, Maria, was illiterate), the second of the eight children of the family"
31,"Guvernarea a durat trei ani și în 1901 a fost adoptată o lege asupra asociațiilor, organizațiilor și partidelor politice ce se pot formă în mod legal.","Governance lasted three years and in 1901 a law was passed on associations, organisations and political parties that can be legally formed."
32,"El este vizitat de vechiul său prieten, directorul imperial Orson Krennic.","He is visited by his old friend, imperial director Orson Krennic."
33,Acestea sunt însă în curs de eliminare și înlocuire cu calificările naționale ale Curriculumului pentru Excelență.,"They are, however, being removed and replaced by the national qualifications of the Excellency Curriculum."
34,Majoritatea musulmanilor sloveni provin din Bosnia.,Most Slovak Muslims come from Bosnia.
35,Un studiu genetic efectuat în 2006 a arătat că peste 50% din bazinul genetic al Angliei conține cromozomi Y germanici.,A genetic study carried out in 2006 showed that more than 50% of the genetically modified basin of England contains Y German chromosome.
36,În luna septembrie a avut loc o bătălie în regiunea muntoasă Kajmakčalan între trupele sârbe și cele bulgare.,"In September, a battle took place in the mountainous region of Kajmakčalan between Serbian and Bulgarian troops."
